Object ID,Tag,Species ,Weight ,Length ,Capture Method ,Capture Date,Release ,Notes 
,101,Black Bass,108,256,PAED,11/3/2021,,
,102,Desert Sucker,112,212,Backpack Shocker,11/3/2021,,
,103,Desert Sucker,125,224,Backpack Shocker,11/3/2021,,Male 
,104,Black Bass,140,217,Backpack Shocker,11/3/2021,,
,105,Desert Sucker,126,231,Backpack Shocker,11/3/2021,,Male with Fin Bumps
,106,Desert Sucker,144,234,Backpack Shocker,11/3/2021,,
,107,Black Bass,79,191,Backpack Shocker,11/3/2021,,
,108,Black Bass,109,215,Backpack Shocker,11/12/2021,,
,109,Black Bass,132,226,Backpack Shocker,11/3/2021,,
,110,Desert Sucker,121,256,Backpack Shocker,11/3/2021,,
,111,Desert Sucker,114,207,Backpack Shocker,11/3/2021,,
,112,Black Bass,90,192,Backpack Shocker,11/3/2021,,
,113,Desert Sucker,101,192,Backpack Shocker,11/3/2021,,
,114,Desert Sucker,91,196,Backpack Shocker,11/3/2021,,
,115,Desert Sucker,157,233,Backpack Shocker,11/3/2021,,
,116,Desert Sucker,86,201,Backpack Shocker,11/3/2021,,
,117,Desert Sucker,121,221,Backpack Shocker,11/3/2021,,
,118,Desert Sucker,143,324,Backpack Shocker,11/3/2021,,
,119,Black Bass,132,221,Backpack Shocker,11/12/2021,,Riffles
,120,Black Bass,77,182,Backpack Shocker,11/12/2021,,
,121,Desert Sucker,86,192,Backpack Shocker,11/12/2021,,
,122,Black Bass,127,226,Backpack Shocker,11/12/2021,,
,123,Black Bass,115,218,Backpack Shocker,11/12/2021,,Riffles
,124,Desert Sucker,121,221,Backpack Shocker,11/12/2021,,Male
,125,Black Bass,103,202,Backpack Shocker,11/12/2021,,Riffles
,126,Black Bass,191,244,Backpack Shocker,11/12/2021,,Riffles
,127,Black Bass,85,197,Backpack Shocker,11/12/2021,,Riffles
,128,Black Bass,92,197,Backpack Shocker,11/12/2021,,Riffles
,129,Black Bass,112,201,Backpack Shocker,11/12/2021,,Riffles
,130,Desert Sucker,82,182,Backpack Shocker,11/12/2021,,
,131,Black Bass,82,191,Backpack Shocker,11/12/2021,,Riffles
,132,Black Bass,209,257,Backpack Shocker,11/12/2021,,Riffles
,133,Desert Sucker,75,193,Backpack Shocker,11/12/2021,,Riffles
,134,Black Bass,107,226,Backpack Shocker,11/13/2021,,Pool
,135,Black Bass,95,197,Backpack Shocker,11/16/2021,,Pool
,136,Black Bass,101,224,Backpack Shocker,11/12/2021,,Riffles
,137,Black Bass,101,196,Backpack Shocker,11/16/2021,,Pool
,138,Black Bass,136,229,Backpack Shocker,11/16/2021,,Pool
,139,Black Bass,81,187,Backpack Shocker,11/16/2021,,Pool
,140,Desert Sucker,81,192,Backpack Shocker,11/16/2021,,Pool
,141,Desert Sucker,76,180,Backpack Shocker,11/16/2021,,Pool
,142,Desert Sucker,134,226,Backpack Shocker,11/16/2021,,Pool
,143,Desert Sucker,76,189,Hoop Net,11/27/2021,Top of Reach,
,144,Desert Sucker,81,193,Backpack Shocker,11/16/2021,,riffle 
,145,Black Bass,78,198,Backpack Shocker,11/28/2021,Camp Crossing,
,146,Desert Sucker,97,204,Backpack Shocker,11/16/2021,,riffle 
,147,Desert Sucker,88,198,Backpack Shocker,11/16/2021,,riffle
,148,Desert Sucker,77,183,Backpack Shocker,11/16/2021,,pool
,149,Desert Sucker,90,193,Backpack Shocker,11/16/2021,,skin tag?
,150,Black Bass,94,190,Backpack Shocker,11/16/2021,,Pool
,151,Black Bass,137,227,Backpack Shocker,11/16/2021,,
,152,Black Bass,102,207,Backpack Shocker,11/15/2021,,
,153,Black Bass,112,208,Backpack Shocker,11/16/2021,,Pool
,154,Black Bass,75,181,Backpack Shocker,11/14/2021,,Pool
,155,Black Bass,143,231,Backpack Shocker,11/16/2021,,Pool
,156,Desert Sucker,203,262,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,All DS in Honey Hole
,157,Black Bass,98,208,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,158,Desert Sucker,247,278,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,All DS in Honey Hole
,159,Black Bass,138,228,Backpack Shocker,11/22/2021,,pool
,160,Black Bass,77,186,Backpack Shocker,11/28/2021,Camp Crossing,
,161,Desert Sucker,224,263,Backpack Shocker,11/28/2021,Camp Crossing,
,162,Black Bass,89,204,Backpack Shocker,11/28/2021,Start to 2nd Pool,internal clear liquid
,163,Desert Sucker,239,277,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,All DS in Honey Hole
,164,Desert Sucker,285,288,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,All DS in Honey Hole
,165,Black Bass,79,193,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,166,Black Bass,79,188,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,
,167,Desert Sucker,188,248,Backpack Shocker,11/28/2021,Camp Crossing,
,168,Black Bass,76,184,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,169,Desert Sucker,224,256,Backpack Shocker,11/28/2021,Camp Crossing,
,170,Desert Sucker,204,256,Backpack Shocker,11/28/2021,Camp Crossing,Left anal fin missing
,171,Black Bass,95,202,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,172,Black Bass,82,190,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,173,Black Bass,75,186,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
,174,Desert Sucker,161,239,Backpack Shocker,11/28/2021,Honey Hole,
,175,Black Bass,73,187,Backpack Shocker,11/28/2021,Start to 2nd Pool,
,176,Desert Sucker,186,252,Backpack Shocker,11/28/2021,Honey Hole,
,177,Desert Sucker,227,274,Backpack Shocker,11/28/2021,4th Pool to Honey Hole,All DS in Honey Hole
,178,Black Bass,117,221,Backpack Shocker,11/28/2021,Start to 2nd Pool,
,179,Desert Sucker,225,273,Hoop Net,11/28/2021,Start to 2nd Pool,bottom pool- George
,180,Desert Sucker,226,273,Backpack Shocker,11/28/2021,Start to 2nd Pool,Bottom pool- Fred
,181,Black Bass,81,196,Backpack Shocker,11/28/2021,Start to 2nd Pool,
,182,Black Bass,100,200,Backpack Shocker,11/28/2021,Start to 2nd Pool,internal clear liquid
,183,Desert Sucker,243,274,Backpack Shocker,11/28/2021,Honey Hole,
,184,Black Bass,98,204,Backpack Shocker,11/28/2021,Start to 2nd Pool,
,185,Black Bass,88,201,Backpack Shocker,11/28/2021,Camp Crossing,
,186,Desert Sucker,128,226,Backpack Shocker,11/28/2021,Honey Hole,
,187,Desert Sucker,219,270,Backpack Shocker,11/28/2021,Honey Hole,
,189,Desert Sucker,160,240,Backpack Shocker,11/28/2021,Honey Hole,
,190,Desert Sucker,186,247,Backpack Shocker,11/28/2021,Honey Hole,
,191,Desert Sucker,168,245,Backpack Shocker,11/28/2021,Honey Hole,
,192,Desert Sucker,160,234,Backpack Shocker,11/28/2021,Honey Hole,
,197,Desert Sucker,205,256,Backpack Shocker,11/28/2021,Honey Hole,
,198,Black Bass,99,195,Backpack Shocker,11/28/2021,Camp Crossing,
,199,Black Bass,76,184,Backpack Shocker,11/28/2021,Camp Crossing,
,200,Desert Sucker,262,277,Backpack Shocker,11/28/2021,Honey Hole,
24,209,Desert Sucker,,239,E-fishing,11/5/2022,,"Mislabeled 200, is 209"
28,202,Desert Sucker,,217,E-fishing,11/5/2022,,
27,203,Desert Sucker,,227,E-fishing,11/5/2022,,
26,204,Desert Sucker,,272,E-fishing,11/5/2022,,
25,205,Desert Sucker,,236,E-fishing,11/5/2022,,
14,206,Black Bass,,247,E-fishing,11/5/2022,,
13,207,Black Bass,,247,E-fishing,11/5/2022,,
12,208,Black Bass,,270,E-fishing,11/5/2022,,
9,210,Black Bass,,232,E-fishing,11/5/2022,,
10,211,Black Bass,,216,E-fishing,11/5/2022,,
11,212,Black Bass,,228,E-fishing,11/5/2022,,
8,213,Black Bass,,232,E-fishing,11/5/2022,,
7,214,Black Bass,,239,E-fishing,11/5/2022,,
23,215,Desert Sucker,,247,E-fishing,11/5/2022,,
22,216,Desert Sucker,,245,E-fishing,11/5/2022,,
5,217,Black Bass,,260,E-fishing,11/5/2022,,
,218,Black Bass,87,194,Backpack Shocker,11/28/2021,2nd Pool to Almost Crossing,
6,219,Black Bass,,283,E-fishing,11/5/2022,,Pretty sure it was 219 but not positive 
21,220,Desert Sucker,,307,E-fishing,11/5/2022,,
20,221,Desert Sucker,,250,E-fishing,11/5/2022,,
19,222,Desert Sucker,,267,E-fishing,11/5/2022,,
4,223,Black Bass,,243,E-fishing,11/5/2022,,
3,224,Black Bass,,263,E-fishing,11/5/2022,,
2,225,Black Bass,,266,E-fishing,11/5/2022,,
1,226,Black Bass,,253,E-fishing,11/5/2022,,
18,227,Desert Sucker,,251,E-fishing,11/5/2022,,
17,228,Desert Sucker,,221,E-fishing,11/5/2022,,
15,229,Desert Sucker,,255,E-fishing,11/5/2022; 10:40am,,
16,230,Desert Sucker,,259,E-fishing,11/5/2022,,
